year_month,province,monthly_rainfall_mm
2022-08,Matabeleland North,0.109598067
2022-09,Matabeleland North,1.538034324
2022-10,Matabeleland North,19.6257157
2022-11,Matabeleland North,106.7446051
2022-12,Matabeleland North,82.6224548
2023-01,Matabeleland North,99.325162
2023-02,Matabeleland North,103.3024296
2023-03,Matabeleland North,31.1486268
2023-04,Matabeleland North,8.03098385
2023-05,Matabeleland North,2.592637944
2023-06,Matabeleland North,0.887680957
2023-07,Matabeleland North,0.001539218
2023-08,Matabeleland North,0.135033167
2023-09,Matabeleland North,1.789456275
2023-10,Matabeleland North,20.070862
2023-11,Matabeleland North,12.2487529
2023-12,Matabeleland North,135.1140629
2024-01,Matabeleland North,134.814681
2024-02,Matabeleland North,11.8670533
2024-03,Matabeleland North,17.347183
2024-04,Matabeleland North,23.8337526
2024-05,Matabeleland North,2.61986695
2024-06,Matabeleland North,1.372761479
2024-07,Matabeleland North,0.001539218
2024-08,Matabeleland North,0.11277546
2024-09,Matabeleland North,1.61362336
2024-10,Matabeleland North,12.94560937
2024-11,Matabeleland North,55.8746915
2024-12,Matabeleland North,129.616274
2025-01,Matabeleland North,193.969501
2025-02,Matabeleland North,177.531996
2025-03,Matabeleland North,24.2632394
2025-04,Matabeleland North,45.3558982
2025-05,Matabeleland North,3.3160742
2025-06,Matabeleland North,0.442909647
2025-07,Matabeleland North,0.001539218
2025-08,Matabeleland North,0.128055585
2025-09,Matabeleland North,2.29056679
2025-10,Matabeleland North,14.4135325
2025-11,Matabeleland North,108.9591991
2025-12,Matabeleland North,207.41239
2020-01,Matabeleland South,108.3467082
2020-02,Matabeleland South,118.9078945
2020-03,Matabeleland South,27.99652864
2020-04,Matabeleland South,20.911938
2020-05,Matabeleland South,3.076967227
2020-06,Matabeleland South,2.8930386
2020-07,Matabeleland South,0.290509388
2020-08,Matabeleland South,0.873308133
2020-09,Matabeleland South,8.154025973
2020-10,Matabeleland South,39.35653973
2020-11,Matabeleland South,65.74312336
2020-12,Matabeleland South,203.2067509
2021-01,Matabeleland South,174.9241927
2021-02,Matabeleland South,153.1591169
2021-03,Matabeleland South,15.17909109
2021-04,Matabeleland South,7.300082827
2021-05,Matabeleland South,2.822127518
2021-06,Matabeleland South,2.907871764
2021-07,Matabeleland South,0.311599888
2021-08,Matabeleland South,0.771298939
2021-09,Matabeleland South,2.961704509
2021-10,Matabeleland South,14.68410536
2021-11,Matabeleland South,54.89967082
2021-12,Matabeleland South,156.5934576
2022-01,Matabeleland South,133.5660609
2022-02,Matabeleland South,14.79438328
2022-03,Matabeleland South,42.00467827
2022-04,Matabeleland South,36.06444527
2022-05,Matabeleland South,4.767389509
2022-06,Matabeleland South,3.311238982
2022-07,Matabeleland South,0.374720594
2022-08,Matabeleland South,0.737512975
2022-09,Matabeleland South,2.823138627
2022-10,Matabeleland South,22.40658145
2022-11,Matabeleland South,59.92005564
2022-12,Matabeleland South,43.56005455
2023-01,Matabeleland South,56.80767464
2023-02,Matabeleland South,85.33609982
2023-03,Matabeleland South,26.30389718
2023-04,Matabeleland South,8.259060627
2023-05,Matabeleland South,4.153623845
2023-06,Matabeleland South,3.130694136
2023-07,Matabeleland South,0.32684859
2023-08,Matabeleland South,1.134599779
2023-09,Matabeleland South,3.830029127
2023-10,Matabeleland South,21.57507391
2023-11,Matabeleland South,16.99395791
2023-12,Matabeleland South,122.6825465
2024-01,Matabeleland South,85.79481682
2024-02,Matabeleland South,9.012200718
2024-03,Matabeleland South,18.93161073
2024-04,Matabeleland South,21.34051855
2024-05,Matabeleland South,3.048912609
2024-06,Matabeleland South,3.848743082
2024-07,Matabeleland South,0.195556692
2024-08,Matabeleland South,0.798915146
2024-09,Matabeleland South,4.098452836
2024-10,Matabeleland South,14.79222227
2024-11,Matabeleland South,86.295223
2024-12,Matabeleland South,144.0861845
2025-01,Matabeleland South,228.1859364
2025-02,Matabeleland South,158.7789295
2025-03,Matabeleland South,14.36607732
2025-04,Matabeleland South,39.48242536
2025-05,Matabeleland South,3.237067791
2025-06,Matabeleland South,2.395008209
2025-07,Matabeleland South,0.313510063
2025-08,Matabeleland South,0.759830992
2025-09,Matabeleland South,5.608314827
2025-10,Matabeleland South,16.57761309
2025-11,Matabeleland South,128.6798545
2025-12,Matabeleland South,148.2809118
2020-01,Midlands,153.6306136
2020-02,Midlands,151.8317313
2020-03,Midlands,24.82474747
2020-04,Midlands,28.12121693
2020-05,Midlands,4.710005987
2020-06,Midlands,3.232096409
2020-07,Midlands,0.872760734
2020-08,Midlands,1.555483503
2020-09,Midlands,8.3232726
2020-10,Midlands,37.84959207
2020-11,Midlands,83.5161024
2020-12,Midlands,260.670724
2021-01,Midlands,237.0602693
2021-02,Midlands,140.0197409
2021-03,Midlands,26.25044847
2021-04,Midlands,8.32943652
2021-05,Midlands,4.244209327
2021-06,Midlands,3.225994493
2021-07,Midlands,0.877110296
2021-08,Midlands,1.488495459
